sample	pop	super_pop
HG00331	FIN	EUR
HG00332	FIN	EUR
HG00334	FIN	EUR
HG00335	FIN	EUR
HG00336	FIN	EUR
HG00337	FIN	EUR
HG00338	FIN	EUR
HG00339	FIN	EUR
HG00341	FIN	EUR
HG00342	FIN	EUR
HG00343	FIN	EUR
HG00344	FIN	EUR
HG00345	FIN	EUR
HG00346	FIN	EUR
HG00349	FIN	EUR
HG00350	FIN	EUR
HG00351	FIN	EUR
HG00353	FIN	EUR
HG00355	FIN	EUR
HG00356	FIN	EUR
HG00357	FIN	EUR
HG00358	FIN	EUR
HG00360	FIN	EUR
HG00361	FIN	EUR
HG00362	FIN	EUR
HG00364	FIN	EUR
HG00365	FIN	EUR
HG00366	FIN	EUR
HG00367	FIN	EUR
HG00368	FIN	EUR
HG00369	FIN	EUR
HG00371	FIN	EUR
HG00372	FIN	EUR
HG00373	FIN	EUR
HG00375	FIN	EUR
HG00376	FIN	EUR
HG00378	FIN	EUR
HG00379	FIN	EUR
HG00380	FIN	EUR
HG00381	FIN	EUR
HG00382	FIN	EUR
HG00383	FIN	EUR
HG00384	FIN	EUR
HG00403	CHS	EAS
HG00404	CHS	EAS
HG00406	CHS	EAS
HG00407	CHS	EAS
HG00409	CHS	EAS
HG00410	CHS	EAS
HG00419	CHS	EAS
HG00421	CHS	EAS
HG00422	CHS	EAS
HG00428	CHS	EAS
HG00436	CHS	EAS
HG00437	CHS	EAS
HG00442	CHS	EAS
HG00443	CHS	EAS
HG00445	CHS	EAS
HG00446	CHS	EAS
HG00448	CHS	EAS
HG00449	CHS	EAS
HG00451	CHS	EAS
HG00452	CHS	EAS
HG00457	CHS	EAS
HG00458	CHS	EAS
HG00463	CHS	EAS
HG00464	CHS	EAS
HG00472	CHS	EAS
HG00473	CHS	EAS
HG00475	CHS	EAS
HG00476	CHS	EAS
HG00478	CHS	EAS
HG00479	CHS	EAS
HG00500	CHS	EAS
HG00513	CHS	EAS
HG00524	CHS	EAS
HG00525	CHS	EAS
HG00530	CHS	EAS
HG00531	CHS	EAS
HG00533	CHS	EAS
HG00534	CHS	EAS
HG00536	CHS	EAS
HG00537	CHS	EAS
HG00542	CHS	EAS
HG00543	CHS	EAS
HG00556	CHS	EAS
HG00557	CHS	EAS
HG00559	CHS	EAS
HG00560	CHS	EAS
HG00565	CHS	EAS
HG00566	CHS	EAS
HG00580	CHS	EAS
HG00581	CHS	EAS
HG00583	CHS	EAS
HG00584	CHS	EAS
HG00589	CHS	EAS
HG00590	CHS	EAS
HG00592	CHS	EAS
HG00593	CHS	EAS
HG00595	CHS	EAS
HG00596	CHS	EAS
HG00598	CHS	EAS
HG00599	CHS	EAS
HG00607	CHS	EAS
HG00608	CHS	EAS
HG00610	CHS	EAS
HG00611	CHS	EAS
HG00613	CHS	EAS
HG00614	CHS	EAS
HG00619	CHS	EAS
HG00620	CHS	EAS
HG00622	CHS	EAS
HG00623	CHS	EAS
HG00625	CHS	EAS
HG00626	CHS	EAS
HG00628	CHS	EAS
HG00629	CHS	EAS
HG00631	CHS	EAS
HG00632	CHS	EAS
HG00634	CHS	EAS
HG00650	CHS	EAS
HG00651	CHS	EAS
HG00653	CHS	EAS
HG00654	CHS	EAS
HG00656	CHS	EAS
HG00657	CHS	EAS
HG00662	CHS	EAS
HG00663	CHS	EAS
HG00671	CHS	EAS
HG00672	CHS	EAS
HG00674	CHS	EAS
HG00675	CHS	EAS
HG00683	CHS	EAS
HG00684	CHS	EAS
HG00689	CHS	EAS
HG00690	CHS	EAS
HG00692	CHS	EAS
HG00693	CHS	EAS
HG00698	CHS	EAS
HG00699	CHS	EAS
HG00701	CHS	EAS
HG00704	CHS	EAS
HG00705	CHS	EAS
HG00707	CHS	EAS
HG00708	CHS	EAS
HG00717	CHS	EAS
HG00728	CHS	EAS
HG00729	CHS	EAS
HG00759	CDX	EAS
HG00766	CDX	EAS
HG00844	CDX	EAS
HG00851	CDX	EAS
HG00864	CDX	EAS
HG00867	CDX	EAS
HG00879	CDX	EAS
HG00881	CDX	EAS
HG00956	CDX	EAS
HG00978	CDX	EAS
HG00982	CDX	EAS
HG01028	CDX	EAS
HG01029	CDX	EAS
HG01031	CDX	EAS
HG01046	CDX	EAS
HG01334	GBR	EUR
HG01789	GBR	EUR
HG01790	GBR	EUR
HG01791	GBR	EUR
HG01794	CDX	EAS
HG01795	CDX	EAS
HG01796	CDX	EAS
HG01797	CDX	EAS
HG01798	CDX	EAS
HG01799	CDX	EAS
HG01800	CDX	EAS
HG01801	CDX	EAS
HG01802	CDX	EAS
HG01804	CDX	EAS
HG01805	CDX	EAS
HG01806	CDX	EAS
HG01807	CDX	EAS
HG01808	CDX	EAS
HG01809	CDX	EAS
HG01810	CDX	EAS
HG01811	CDX	EAS
HG01812	CDX	EAS
HG01813	CDX	EAS
HG01815	CDX	EAS
HG01816	CDX	EAS
HG01817	CDX	EAS
HG02151	CDX	EAS
HG02152	CDX	EAS
HG02153	CDX	EAS
HG02154	CDX	EAS
HG02155	CDX	EAS
HG02156	CDX	EAS
HG02164	CDX	EAS
HG02165	CDX	EAS
HG02166	CDX	EAS
HG02178	CDX	EAS
HG02179	CDX	EAS
HG02180	CDX	EAS
HG02181	CDX	EAS
HG02182	CDX	EAS
HG02184	CDX	EAS
HG02185	CDX	EAS
HG02186	CDX	EAS
HG02187	CDX	EAS
HG02188	CDX	EAS
HG02190	CDX	EAS
HG02215	GBR	EUR
HG02250	CDX	EAS
HG02351	CDX	EAS
HG02353	CDX	EAS
HG02355	CDX	EAS
HG02356	CDX	EAS
HG02360	CDX	EAS
HG02364	CDX	EAS
HG02367	CDX	EAS
HG02371	CDX	EAS
HG02373	CDX	EAS
HG02374	CDX	EAS
HG02375	CDX	EAS
HG02379	CDX	EAS
HG02380	CDX	EAS
HG02382	CDX	EAS
HG02383	CDX	EAS
HG02384	CDX	EAS
HG02385	CDX	EAS
HG02386	CDX	EAS
HG02389	CDX	EAS
HG02390	CDX	EAS
HG02391	CDX	EAS
HG02392	CDX	EAS
HG02394	CDX	EAS
HG02395	CDX	EAS
HG02396	CDX	EAS
HG02397	CDX	EAS
HG02398	CDX	EAS
HG02399	CDX	EAS
HG02401	CDX	EAS
HG02402	CDX	EAS
HG02406	CDX	EAS
HG02407	CDX	EAS
HG02408	CDX	EAS
HG02409	CDX	EAS
HG02410	CDX	EAS
HG02461	GWD	AFR
HG02462	GWD	AFR
HG02464	GWD	AFR
HG02465	GWD	AFR
HG02561	GWD	AFR
HG02562	GWD	AFR
HG02568	GWD	AFR
HG02570	GWD	AFR
HG02571	GWD	AFR
HG02573	GWD	AFR
HG02574	GWD	AFR
HG02582	GWD	AFR
HG02583	GWD	AFR
HG02585	GWD	AFR
HG02586	GWD	AFR
HG02588	GWD	AFR
HG02589	GWD	AFR
HG02594	GWD	AFR
HG02595	GWD	AFR
HG02610	GWD	AFR
HG02611	GWD	AFR
HG02613	GWD	AFR
HG02614	GWD	AFR
HG02620	GWD	AFR
HG02621	GWD	AFR
HG02623	GWD	AFR
HG02624	GWD	AFR
HG02628	GWD	AFR
HG02629	GWD	AFR
HG02634	GWD	AFR
HG02635	GWD	AFR
HG02642	GWD	AFR
HG02643	GWD	AFR
HG02645	GWD	AFR
HG02646	GWD	AFR
HG02666	GWD	AFR
HG02667	GWD	AFR
HG02675	GWD	AFR
HG02676	GWD	AFR
HG02678	GWD	AFR
HG02679	GWD	AFR
HG02702	GWD	AFR
HG02703	GWD	AFR
HG02715	GWD	AFR
HG02716	GWD	AFR
HG02721	GWD	AFR
HG02722	GWD	AFR
HG02756	GWD	AFR
HG02757	GWD	AFR
HG02759	GWD	AFR
HG02760	GWD	AFR
HG02763	GWD	AFR
HG02768	GWD	AFR
HG02769	GWD	AFR
HG02771	GWD	AFR
HG02772	GWD	AFR
HG02798	GWD	AFR
HG02799	GWD	AFR
HG02804	GWD	AFR
HG02805	GWD	AFR
HG02807	GWD	AFR
HG02808	GWD	AFR
HG02810	GWD	AFR
HG02811	GWD	AFR
HG02813	GWD	AFR
HG02814	GWD	AFR
HG02816	GWD	AFR
HG02817	GWD	AFR
HG02819	GWD	AFR
HG02820	GWD	AFR
HG02836	GWD	AFR
HG02837	GWD	AFR
HG02839	GWD	AFR
HG02840	GWD	AFR
HG02851	GWD	AFR
HG02852	GWD	AFR
HG02854	GWD	AFR
HG02855	GWD	AFR
HG02860	GWD	AFR
HG02861	GWD	AFR
HG02870	GWD	AFR
HG02878	GWD	AFR
HG02879	GWD	AFR
HG02881	GWD	AFR
HG02882	GWD	AFR
HG02884	GWD	AFR
HG02885	GWD	AFR
HG02887	GWD	AFR
HG02888	GWD	AFR
HG02890	GWD	AFR
HG02891	GWD	AFR
HG02895	GWD	AFR
HG02896	GWD	AFR
HG02922	ESN	AFR
HG02923	ESN	AFR
HG02938	ESN	AFR
HG02941	ESN	AFR
HG02943	ESN	AFR
HG02944	ESN	AFR
HG02946	ESN	AFR
HG02947	ESN	AFR
HG02952	ESN	AFR
HG02953	ESN	AFR
HG02968	ESN	AFR
HG02970	ESN	AFR
HG02971	ESN	AFR
HG02973	ESN	AFR
HG02974	ESN	AFR
HG02976	ESN	AFR
HG02977	ESN	AFR
HG02979	ESN	AFR
HG02981	ESN	AFR
HG02982	GWD	AFR
HG02983	GWD	AFR
HG03024	GWD	AFR
HG03025	GWD	AFR
HG03027	GWD	AFR
HG03028	GWD	AFR
HG03039	GWD	AFR
HG03040	GWD	AFR
HG03045	GWD	AFR
HG03046	GWD	AFR
HG03048	GWD	AFR
HG03049	GWD	AFR
HG03052	MSL	AFR
HG03054	MSL	AFR
HG03055	MSL	AFR
HG03057	MSL	AFR
HG03058	MSL	AFR
HG03060	MSL	AFR
HG03061	MSL	AFR
HG03063	MSL	AFR
HG03064	MSL	AFR
HG03066	MSL	AFR
HG03069	MSL	AFR
HG03072	MSL	AFR
HG03073	MSL	AFR
HG03074	MSL	AFR
HG03077	MSL	AFR
HG03078	MSL	AFR
HG03079	MSL	AFR
HG03081	MSL	AFR
HG03082	MSL	AFR
HG03084	MSL	AFR
HG03085	MSL	AFR
HG03086	MSL	AFR
HG03088	MSL	AFR
HG03091	MSL	AFR
HG03095	MSL	AFR
HG03096	MSL	AFR
HG03097	MSL	AFR
HG03099	ESN	AFR
HG03100	ESN	AFR
HG03103	ESN	AFR
HG03105	ESN	AFR
HG03108	ESN	AFR
HG03109	ESN	AFR
HG03111	ESN	AFR
HG03112	ESN	AFR
HG03114	ESN	AFR
HG03115	ESN	AFR
HG03117	ESN	AFR
HG03118	ESN	AFR
HG03120	ESN	AFR
HG03121	ESN	AFR
HG03123	ESN	AFR
HG03124	ESN	AFR
HG03126	ESN	AFR
HG03127	ESN	AFR
HG03129	ESN	AFR
HG03130	ESN	AFR
HG03132	ESN	AFR
HG03133	ESN	AFR
HG03135	ESN	AFR
HG03136	ESN	AFR
HG03139	ESN	AFR
HG03157	ESN	AFR
HG03159	ESN	AFR
HG03160	ESN	AFR
HG03162	ESN	AFR
HG03163	ESN	AFR
HG03166	ESN	AFR
HG03168	ESN	AFR
HG03169	ESN	AFR
HG03172	ESN	AFR
HG03175	ESN	AFR
HG03189	ESN	AFR
HG03190	ESN	AFR
HG03193	ESN	AFR
HG03195	ESN	AFR
HG03196	ESN	AFR
HG03198	ESN	AFR
HG03199	ESN	AFR
HG03202	ESN	AFR
HG03209	MSL	AFR
HG03212	MSL	AFR
HG03224	MSL	AFR
HG03225	MSL	AFR
HG03240	GWD	AFR
HG03241	GWD	AFR
HG03246	GWD	AFR
HG03247	GWD	AFR
HG03258	GWD	AFR
HG03259	GWD	AFR
HG03265	ESN	AFR
HG03267	ESN	AFR
HG03268	ESN	AFR
HG03270	ESN	AFR
HG03271	ESN	AFR
HG03279	ESN	AFR
HG03280	ESN	AFR
HG03291	ESN	AFR
HG03294	ESN	AFR
HG03295	ESN	AFR
HG03297	ESN	AFR
HG03298	ESN	AFR
HG03300	ESN	AFR
HG03301	ESN	AFR
HG03303	ESN	AFR
HG03304	ESN	AFR
HG03311	ESN	AFR
HG03313	ESN	AFR
HG03342	ESN	AFR
HG03343	ESN	AFR
HG03351	ESN	AFR
HG03352	ESN	AFR
HG03354	ESN	AFR
HG03363	ESN	AFR
HG03366	ESN	AFR
HG03367	ESN	AFR
HG03369	ESN	AFR
HG03370	ESN	AFR
HG03372	ESN	AFR
HG03376	MSL	AFR
HG03378	MSL	AFR
HG03380	MSL	AFR
HG03382	MSL	AFR
HG03385	MSL	AFR
HG03388	MSL	AFR
HG03391	MSL	AFR
HG03394	MSL	AFR
HG03397	MSL	AFR
HG03401	MSL	AFR
HG03410	MSL	AFR
HG03419	MSL	AFR
HG03428	MSL	AFR
HG03432	MSL	AFR
HG03433	MSL	AFR
HG03436	MSL	AFR
HG03437	MSL	AFR
HG03439	MSL	AFR
HG03442	MSL	AFR
HG03445	MSL	AFR
HG03446	MSL	AFR
HG03449	MSL	AFR
HG03451	MSL	AFR
HG03452	MSL	AFR
HG03455	MSL	AFR
HG03457	MSL	AFR
HG03458	MSL	AFR
HG03460	MSL	AFR
HG03461	MSL	AFR
HG03464	MSL	AFR
HG03469	MSL	AFR
HG03470	MSL	AFR
HG03472	MSL	AFR
HG03473	MSL	AFR
HG03476	MSL	AFR
HG03478	MSL	AFR
HG03479	MSL	AFR
HG03484	MSL	AFR
HG03485	MSL	AFR
HG03499	ESN	AFR
HG03511	ESN	AFR
HG03514	ESN	AFR
HG03515	ESN	AFR
HG03517	ESN	AFR
HG03518	ESN	AFR
HG03520	ESN	AFR
HG03521	ESN	AFR
HG03538	GWD	AFR
HG03539	GWD	AFR
HG03547	MSL	AFR
HG03548	MSL	AFR
HG03556	MSL	AFR
HG03557	MSL	AFR
HG03558	MSL	AFR
HG03559	MSL	AFR
HG03563	MSL	AFR
HG03565	MSL	AFR
HG03567	MSL	AFR
HG03571	MSL	AFR
HG03572	MSL	AFR
HG03575	MSL	AFR
HG03577	MSL	AFR
HG03578	MSL	AFR
HG03583	MSL	AFR
NA06984	CEU	EUR
NA06985	CEU	EUR
NA06986	CEU	EUR
NA06989	CEU	EUR
NA06994	CEU	EUR
NA07000	CEU	EUR
NA07037	CEU	EUR
NA07048	CEU	EUR
NA07051	CEU	EUR
NA07056	CEU	EUR
NA07347	CEU	EUR
NA07357	CEU	EUR
NA10847	CEU	EUR
NA10851	CEU	EUR
NA11829	CEU	EUR
NA11830	CEU	EUR
NA11831	CEU	EUR
NA11832	CEU	EUR
NA11840	CEU	EUR
NA11843	CEU	EUR
NA11881	CEU	EUR
NA11892	CEU	EUR
NA11893	CEU	EUR
NA11894	CEU	EUR
NA11918	CEU	EUR
NA11919	CEU	EUR
NA11920	CEU	EUR
NA11930	CEU	EUR
NA11931	CEU	EUR
NA11932	CEU	EUR
NA11933	CEU	EUR
NA11992	CEU	EUR
NA11994	CEU	EUR
NA11995	CEU	EUR
NA12003	CEU	EUR
NA12004	CEU	EUR
NA12005	CEU	EUR
NA12006	CEU	EUR
NA12043	CEU	EUR
NA12044	CEU	EUR
NA12045	CEU	EUR
NA12046	CEU	EUR
NA12058	CEU	EUR
NA12144	CEU	EUR
NA12154	CEU	EUR
NA12155	CEU	EUR
NA12156	CEU	EUR
NA12234	CEU	EUR
NA12249	CEU	EUR
NA12272	CEU	EUR
NA12273	CEU	EUR
NA12275	CEU	EUR
NA12282	CEU	EUR
NA12283	CEU	EUR
NA12286	CEU	EUR
NA12287	CEU	EUR
NA12340	CEU	EUR
NA12341	CEU	EUR
NA12342	CEU	EUR
NA12347	CEU	EUR
NA12348	CEU	EUR
NA12383	CEU	EUR
NA12399	CEU	EUR
NA12400	CEU	EUR
NA12413	CEU	EUR
NA12414	CEU	EUR
NA12489	CEU	EUR
NA12546	CEU	EUR
NA12716	CEU	EUR
NA12717	CEU	EUR
NA12718	CEU	EUR
NA12748	CEU	EUR
NA12749	CEU	EUR
NA12750	CEU	EUR
NA12751	CEU	EUR
NA12760	CEU	EUR
NA12761	CEU	EUR
NA12762	CEU	EUR
NA12763	CEU	EUR
NA12775	CEU	EUR
NA12776	CEU	EUR
NA12777	CEU	EUR
NA12778	CEU	EUR
NA12812	CEU	EUR
NA12813	CEU	EUR
NA12814	CEU	EUR
NA12815	CEU	EUR
NA12827	CEU	EUR
NA12828	CEU	EUR
NA12829	CEU	EUR
NA12830	CEU	EUR
NA12842	CEU	EUR
NA12843	CEU	EUR
NA12872	CEU	EUR
NA12873	CEU	EUR
NA12874	CEU	EUR
NA12878	CEU	EUR
NA12889	CEU	EUR
NA12890	CEU	EUR
NA18486	YRI	AFR
NA18488	YRI	AFR
NA18489	YRI	AFR
NA18498	YRI	AFR
NA18499	YRI	AFR
NA18501	YRI	AFR
NA18502	YRI	AFR
NA18504	YRI	AFR
NA18505	YRI	AFR
NA18507	YRI	AFR
NA18508	YRI	AFR
NA18510	YRI	AFR
NA18511	YRI	AFR
NA18516	YRI	AFR
NA18517	YRI	AFR
NA18519	YRI	AFR
NA18520	YRI	AFR
NA18522	YRI	AFR
NA18523	YRI	AFR
NA18525	CHB	EAS
NA18526	CHB	EAS
NA18528	CHB	EAS
NA18530	CHB	EAS
NA18531	CHB	EAS
NA18532	CHB	EAS
NA18533	CHB	EAS
NA18534	CHB	EAS
NA18535	CHB	EAS
NA18536	CHB	EAS
NA18537	CHB	EAS
NA18538	CHB	EAS
NA18539	CHB	EAS
NA18541	CHB	EAS
NA18542	CHB	EAS
NA18543	CHB	EAS
NA18544	CHB	EAS
NA18545	CHB	EAS
NA18546	CHB	EAS
NA18547	CHB	EAS
NA18548	CHB	EAS
NA18549	CHB	EAS
NA18550	CHB	EAS
NA18552	CHB	EAS
NA18553	CHB	EAS
NA18555	CHB	EAS
NA18557	CHB	EAS
NA18558	CHB	EAS
NA18559	CHB	EAS
NA18560	CHB	EAS
NA18561	CHB	EAS
NA18562	CHB	EAS
NA18563	CHB	EAS
NA18564	CHB	EAS
NA18565	CHB	EAS
NA18566	CHB	EAS
NA18567	CHB	EAS
NA18570	CHB	EAS
NA18571	CHB	EAS
NA18572	CHB	EAS
NA18573	CHB	EAS
NA18574	CHB	EAS
NA18577	CHB	EAS
NA18579	CHB	EAS
NA18582	CHB	EAS
NA18591	CHB	EAS
NA18592	CHB	EAS
NA18593	CHB	EAS
NA18595	CHB	EAS
NA18596	CHB	EAS
NA18597	CHB	EAS
NA18599	CHB	EAS
NA18602	CHB	EAS
NA18603	CHB	EAS
NA18605	CHB	EAS
NA18606	CHB	EAS
NA18608	CHB	EAS
NA18609	CHB	EAS
NA18610	CHB	EAS
NA18611	CHB	EAS
NA18612	CHB	EAS
NA18613	CHB	EAS
NA18614	CHB	EAS
NA18615	CHB	EAS
NA18616	CHB	EAS
NA18617	CHB	EAS
NA18618	CHB	EAS
NA18619	CHB	EAS
NA18620	CHB	EAS
NA18621	CHB	EAS
NA18622	CHB	EAS
NA18623	CHB	EAS
NA18624	CHB	EAS
NA18625	CHB	EAS
NA18626	CHB	EAS
NA18627	CHB	EAS
NA18628	CHB	EAS
NA18629	CHB	EAS
NA18630	CHB	EAS
NA18631	CHB	EAS
NA18632	CHB	EAS
NA18633	CHB	EAS
NA18634	CHB	EAS
NA18635	CHB	EAS
NA18636	CHB	EAS
NA18637	CHB	EAS
NA18638	CHB	EAS
NA18639	CHB	EAS
NA18640	CHB	EAS
NA18641	CHB	EAS
NA18642	CHB	EAS
NA18643	CHB	EAS
NA18644	CHB	EAS
NA18645	CHB	EAS
NA18646	CHB	EAS
NA18647	CHB	EAS
NA18648	CHB	EAS
NA18740	CHB	EAS
NA18745	CHB	EAS
NA18747	CHB	EAS
NA18748	CHB	EAS
NA18749	CHB	EAS
NA18757	CHB	EAS
NA18853	YRI	AFR
NA18856	YRI	AFR
NA18858	YRI	AFR
NA18861	YRI	AFR
NA18864	YRI	AFR
NA18865	YRI	AFR
NA18867	YRI	AFR
NA18868	YRI	AFR
NA18870	YRI	AFR
NA18871	YRI	AFR
NA18873	YRI	AFR
NA18874	YRI	AFR
NA18876	YRI	AFR
NA18877	YRI	AFR
NA18878	YRI	AFR
NA18879	YRI	AFR
NA18881	YRI	AFR
NA18907	YRI	AFR
NA18908	YRI	AFR
NA18909	YRI	AFR
NA18910	YRI	AFR
NA18912	YRI	AFR
NA18915	YRI	AFR
NA18916	YRI	AFR
NA18917	YRI	AFR
NA18923	YRI	AFR
NA18924	YRI	AFR
NA18933	YRI	AFR
NA18934	YRI	AFR
NA18939	JPT	EAS
NA18940	JPT	EAS
NA18941	JPT	EAS
NA18942	JPT	EAS
NA18943	JPT	EAS
NA18944	JPT	EAS
NA18945	JPT	EAS
NA18946	JPT	EAS
NA18947	JPT	EAS
NA18948	JPT	EAS
NA18949	JPT	EAS
NA18950	JPT	EAS
NA18951	JPT	EAS
NA18952	JPT	EAS
NA18953	JPT	EAS
NA18954	JPT	EAS
NA18956	JPT	EAS
NA18957	JPT	EAS
NA18959	JPT	EAS
NA18960	JPT	EAS
NA18961	JPT	EAS
NA18962	JPT	EAS
NA18963	JPT	EAS
NA18964	JPT	EAS
NA18965	JPT	EAS
NA18966	JPT	EAS
NA18967	JPT	EAS
NA18968	JPT	EAS
NA18969	JPT	EAS
NA18970	JPT	EAS
NA18971	JPT	EAS
NA18972	JPT	EAS
NA18973	JPT	EAS
NA18974	JPT	EAS
NA18975	JPT	EAS
NA18976	JPT	EAS
NA18977	JPT	EAS
NA18978	JPT	EAS
NA18979	JPT	EAS
NA18980	JPT	EAS
NA18981	JPT	EAS
NA18982	JPT	EAS
NA18983	JPT	EAS
NA18984	JPT	EAS
NA18985	JPT	EAS
NA18986	JPT	EAS
NA18987	JPT	EAS
NA18988	JPT	EAS
NA18989	JPT	EAS
NA18990	JPT	EAS
NA18991	JPT	EAS
NA18992	JPT	EAS
NA18993	JPT	EAS
NA18994	JPT	EAS
NA18995	JPT	EAS
NA18997	JPT	EAS
NA18998	JPT	EAS
NA18999	JPT	EAS
NA19000	JPT	EAS
NA19001	JPT	EAS
NA19002	JPT	EAS
NA19003	JPT	EAS
NA19004	JPT	EAS
NA19005	JPT	EAS
NA19006	JPT	EAS
NA19007	JPT	EAS
NA19009	JPT	EAS
NA19010	JPT	EAS
NA19011	JPT	EAS
NA19012	JPT	EAS
NA19017	LWK	AFR
NA19019	LWK	AFR
NA19020	LWK	AFR
NA19023	LWK	AFR
NA19024	LWK	AFR
NA19025	LWK	AFR
NA19026	LWK	AFR
NA19027	LWK	AFR
NA19028	LWK	AFR
NA19030	LWK	AFR
NA19031	LWK	AFR
NA19035	LWK	AFR
NA19036	LWK	AFR
NA19037	LWK	AFR
NA19038	LWK	AFR
NA19041	LWK	AFR
NA19042	LWK	AFR
NA19043	LWK	AFR
NA19054	JPT	EAS
NA19055	JPT	EAS
NA19056	JPT	EAS
NA19057	JPT	EAS
NA19058	JPT	EAS
NA19059	JPT	EAS
NA19060	JPT	EAS
NA19062	JPT	EAS
NA19063	JPT	EAS
NA19064	JPT	EAS
NA19065	JPT	EAS
NA19066	JPT	EAS
NA19067	JPT	EAS
NA19068	JPT	EAS
NA19070	JPT	EAS
NA19072	JPT	EAS
NA19074	JPT	EAS
NA19075	JPT	EAS
NA19076	JPT	EAS
NA19077	JPT	EAS
NA19078	JPT	EAS
NA19079	JPT	EAS
NA19080	JPT	EAS
NA19081	JPT	EAS
NA19082	JPT	EAS
NA19083	JPT	EAS
NA19084	JPT	EAS
NA19085	JPT	EAS
NA19086	JPT	EAS
NA19087	JPT	EAS
NA19088	JPT	EAS
NA19089	JPT	EAS
NA19090	JPT	EAS
NA19091	JPT	EAS
NA19092	YRI	AFR
NA19093	YRI	AFR
NA19095	YRI	AFR
NA19096	YRI	AFR
NA19098	YRI	AFR
NA19099	YRI	AFR
NA19102	YRI	AFR
NA19107	YRI	AFR
NA19108	YRI	AFR
NA19113	YRI	AFR
NA19114	YRI	AFR
NA19116	YRI	AFR
NA19117	YRI	AFR
NA19118	YRI	AFR
NA19119	YRI	AFR
NA19121	YRI	AFR
NA19129	YRI	AFR
NA19130	YRI	AFR
